구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2019년01월,1715.88,1351.19,1249.41,942.73
2019년02월,1703.02,1343.77,1242.91,936.42
2019년03월,1714.20,1369.52,1269.16,943.86
2019년04월,1752.36,1424.39,1316.42,957.81
2019년05월,1818.28,1517.22,1385.31,972.46
2019년06월,1817.76,1517.54,1379.77,973.43
2019년07월,1799.76,1491.50,1352.84,969.23
2019년08월,1797.13,1493.72,1351.92,967.96
2019년09월,1826.54,1529.27,1379.84,968.84
2019년10월,1829.48,1540.47,1387.73,973.08
2019년11월,1820.92,1535.65,1380.51,971.83
2019년12월,1823.99,1548.47,1385.42,970.78
2020년01월,1832.84,1568.44,1398.40,975.31
2020년02월,1816.57,1545.29,1369.85,967.82
2020년03월,1765.62,1469.06,1280.77,933.10
2020년04월,1647.41,1323.66,1132.44,857.98
2020년05월,1580.33,1255.08,1065.79,796.46
2020년06월,1610.40,1322.88,1127.90,800.93
2020년07월,1633.04,1360.25,1162.90,812.31
2020년08월,1636.39,1361.09,1163.56,816.77
2020년09월,1629.55,1352.47,1154.45,816.62
2020년10월,1618.38,1333.28,1133.96,811.77
2020년11월,1609.20,1319.59,1119.60,801.97
2020년12월,1629.93,1367.77,1168.32,818.15
2021년01월,1678.91,1441.84,1242.35,863.83
2021년02월,1703.47,1463.22,1263.36,878.27
2021년03월,1751.26,1513.27,1312.63,897.28
2021년04월,1770.77,1534.52,1332.74,905.60
2021년05월,1780.41,1541.51,1338.81,906.40
2021년06월,1810.79,1577.33,1374.36,913.94
2021년07월,1859.77,1629.26,1425.54,932.17
2021년08월,1880.13,1645.75,1440.54,940.89
2021년09월,1877.62,1642.68,1437.17,942.96
2021년10월,1938.16,1712.32,1509.29,993.02
2021년11월,1946.19,1737.39,1549.72,1087.94
2021년12월,1871.86,1646.37,1468.90,1094.83
2022년01월,1870.54,1635.22,1453.53,1098.10
2022년02월,1935.63,1714.61,1536.64,1171.44
2022년03월,2151.54,1938.46,1826.93,1347.82
2022년04월,2193.60,1976.53,1906.42,1427.82
2022년05월,2183.71,1967.07,1964.28,1480.11
2022년06월,2298.50,2084.00,2089.03,1601.77
2022년07월,2261.02,2029.99,2084.91,1686.55
2022년08월,2077.53,1792.19,1889.31,1639.49
2022년09월,2016.95,1730.00,1850.20,1620.15
2022년10월,1955.33,1666.65,1838.34,1598.07
2022년11월,1935.87,1650.32,1879.15,1601.69
2022년12월,1864.79,1563.68,1783.21,1552.55
2023년01월,1852.70,1562.93,1675.37,1495.25
2023년02월,1852.77,1578.49,1606.41,1464.42
2023년03월,1855.26,1592.25,1539.72,1426.45
2023년04월,1892.80,1640.95,1535.70,1403.77
2023년05월,1888.87,1628.81,1471.97,1378.34
2023년06월,1857.33,1580.64,1394.48,1336.37
2023년07월,1857.30,1585.48,1396.48,1317.58
2023년08월,1954.24,1716.76,1573.16,1339.56
2023년09월,1999.86,1769.15,1666.53,1389.13
2023년10월,2009.06,1775.89,1690.31,1432.94
2023년11월,1950.69,1684.05,1628.22,1426.33
2023년12월,1881.46,1600.58,1526.31,1389.53
2024년01월,1853.76,1569.25,1480.07,1359.48
2024년02월,1883.13,1614.51,1517.75,1360.76
2024년03월,1897.95,1639.10,1538.97,1365.57
2024년04월,1935.00,1687.79,1557.77,1367.35
