Year,Month,WTI
2019,1,51.55
2019,2,54.98
2019,3,58.17
2019,4,63.87
2019,5,60.87
2019,6,54.71
2019,7,57.55
2019,8,54.84
2019,9,56.97
2019,10,54.01
2019,11,57.07
2019,12,59.8
2020,1,57.53
2020,2,50.54
2020,3,30.45
2020,4,16.7
2020,5,28.53
2020,6,38.31
2020,7,40.77
2020,8,42.39
2020,9,39.63
2020,10,39.55
2020,11,41.35
2020,12,47.07
2021,1,52.1
2021,2,59.06
2021,3,62.36
2021,4,61.7
2021,5,65.16
2021,6,71.35
2021,7,72.43
2021,8,67.71
2021,9,71.54
2021,10,81.22
2021,11,78.65
2021,12,71.69
2022,1,82.98
2022,2,91.63
2022,3,108.26
2022,4,101.64
2022,5,109.26
2022,6,114.34
2022,7,99.38
2022,8,91.48
2022,9,83.8
2022,10,87.03
2022,11,84.39
2022,12,76.52
2023,1,78.16
2023,2,76.86
2023,3,73.37
2023,4,79.44
2023,5,71.62
2023,6,70.27
2023,7,76.03
2023,8,81.32
2023,9,89.43
2023,10,85.47
2023,11,77.38
2023,12,72.12
2024,1,73.86
2024,2,76.61
2024,3,80.41
2024,4,84.39
2024,5,78.81
